Battery_Voltage_V,Battery_Temperature_C,State_of_Charge_Percent,Charge_Discharge_Cycles,Current_A,Battery_Age_Months,Internal_Resistance_mOhm,Ambient_Temperature_C,Battery_Health_Percent
364.48,15.24,27.28,630,17.88,89.3,,13.93,79.66
354.99,51.29,7.45,899,-121.77,77.6,50.69,22.11,76.27
370.74,33.89,48.4,802,-52.42,60.8,46.66,26.09,79.88
375.69,28.98,35.96,405,-88.97,83.7,46.75,14.19,82.44
400.99,,98.81,772,67.62,77.2,47.92,34.37,81.65
395.64,40.69,87.51,283,-16.08,17.9,35.71,40.66,90.46
391.63,13.66,83.44,1022,11.02,85.7,51.17,10.91,78.91
369.41,29.76,52.61,653,-22.44,51.8,44.88,23.85,89.6
390.04,29.0,81.67,632,5.66,77.5,48.49,26.3,82.83
365.4,34.6,30.35,748,24.84,86.0,51.34,31.23,82.03
376.66,38.64,58.26,226,-37.7,30.5,36.64,36.55,88.67
368.67,40.15,42.33,127,-71.87,10.6,34.93,25.21,93.26
359.62,57.25,21.28,146,-96.11,21.9,38.38,37.41,88.58
358.26,38.92,11.9,469,65.52,41.0,37.77,28.88,85.87
382.78,23.4,58.03,469,9.24,78.5,43.94,21.97,83.8
357.65,70.0,14.28,1132,-173.39,82.6,53.37,30.31,67.81
384.9,22.11,73.21,23,-54.68,0.7,29.43,15.37,100.0
395.18,23.0,92.54,367,-15.03,49.0,41.97,25.45,88.76
360.5,35.18,20.4,364,60.34,40.1,40.6,26.25,85.73
375.52,45.16,49.74,206,-106.16,21.3,35.86,21.95,89.83
388.9,49.15,75.18,36,-14.42,11.5,,50.0,90.92
364.81,51.46,32.25,188,-63.98,32.4,37.13,41.02,88.03
397.82,54.29,92.47,491,-111.82,90.5,52.19,30.0,75.73
396.05,34.93,89.4,262,40.73,31.0,38.31,32.28,91.45
356.24,,14.86,523,-97.85,49.8,42.57,33.17,80.22
348.64,34.88,7.6,677,18.25,67.5,48.13,34.25,79.19
396.23,70.0,97.76,198,-135.68,34.9,35.48,43.62,86.26
402.64,48.97,95.87,1147,-69.4,93.3,56.3,37.27,70.98
367.48,6.73,45.12,920,-5.68,92.4,53.01,8.14,77.48
358.85,34.71,9.8,335,3.01,24.2,34.69,36.34,92.4
376.71,19.55,63.79,612,-13.79,47.7,43.77,19.63,84.62
364.12,23.06,32.87,304,19.13,28.9,37.46,22.46,95.56
395.87,45.67,93.99,208,-57.32,27.3,37.79,37.81,88.54
395.59,17.04,80.49,0,43.54,3.5,30.8,9.37,99.23
383.43,45.73,66.71,308,-18.6,58.5,42.27,45.13,85.71
365.37,36.28,32.03,233,4.09,48.3,39.87,36.17,90.73
383.0,30.7,71.62,81,-18.18,4.9,31.82,31.34,98.26
367.8,35.01,32.47,195,-10.51,26.8,38.24,36.34,90.68
352.75,60.87,8.57,732,-100.07,87.2,51.84,39.48,73.88
375.96,48.93,53.3,261,-96.5,23.0,34.18,30.23,91.49
374.64,48.74,51.43,143,-72.47,13.9,33.27,35.74,94.35
390.9,20.64,77.49,427,-9.14,47.0,,18.2,90.76
395.9,49.2,87.24,893,-75.32,94.6,56.1,36.12,76.98
366.67,37.83,38.67,161,-57.76,23.2,33.7,34.08,93.71
371.97,47.69,47.7,303,-44.36,64.5,41.19,42.39,84.13
372.67,31.93,49.69,369,45.07,73.1,48.31,29.74,87.5
368.45,27.33,35.8,205,-3.83,22.8,34.28,31.06,98.2
390.53,51.81,75.62,461,-127.68,69.9,43.2,18.77,83.27
377.89,32.56,54.6,365,-30.42,35.3,40.26,27.99,90.51
389.34,42.31,91.83,645,-58.21,60.7,45.54,34.11,83.67
385.67,39.06,66.78,531,-53.7,60.8,42.64,35.06,86.42
358.52,53.92,25.13,331,-39.96,51.4,41.7,45.13,83.57
358.18,35.77,20.66,62,27.55,8.7,33.18,32.61,94.85
370.78,41.16,40.38,830,-88.81,80.2,52.05,27.07,75.63
368.73,31.02,37.96,397,-27.77,30.8,39.09,33.57,92.27
374.46,23.03,43.68,304,-22.56,17.9,37.51,22.43,96.04
359.39,43.0,22.44,14,-53.28,3.9,32.42,41.25,94.89
396.07,31.27,97.93,459,-78.3,56.7,42.18,21.06,85.84
358.49,35.11,18.84,624,-85.32,65.0,49.41,23.95,81.98
386.43,24.25,67.0,0,-65.24,1.6,31.54,17.25,99.88
355.01,27.8,6.24,246,4.26,49.2,42.62,28.83,91.8
372.09,40.27,43.66,244,-61.5,21.7,35.42,34.45,92.8
371.16,53.36,34.37,653,-45.95,61.9,47.52,44.53,78.89
374.08,51.0,41.29,139,-109.42,16.7,34.44,27.43,93.74
378.52,37.79,52.32,374,-68.46,66.3,45.62,25.76,90.21
377.48,3.83,62.04,377,-26.24,37.1,38.5,1.31,91.28
382.57,69.04,60.43,750,-140.03,89.9,49.88,30.23,73.68
381.85,28.35,64.92,114,22.69,13.2,35.59,28.28,95.29
391.43,42.28,85.23,238,-75.57,32.7,37.78,28.16,92.21
392.57,49.64,89.24,184,65.78,10.9,35.44,43.06,89.85
387.0,32.65,75.04,781,-14.8,88.8,48.31,33.46,78.98
354.37,67.61,12.5,711,-150.09,84.2,48.13,23.84,72.0
398.67,20.18,96.32,166,-23.35,24.8,34.33,18.94,91.2
396.98,21.59,95.0,671,-59.08,63.4,48.81,16.43,80.56
386.97,26.44,72.61,786,-22.6,78.5,52.15,23.54,79.27
378.74,40.39,54.16,532,57.0,53.3,43.49,31.74,87.37
363.52,5.48,28.81,524,2.3,50.8,43.83,6.9,87.16
386.21,33.44,76.85,251,-53.54,23.2,36.33,26.65,95.22
388.18,65.0,88.4,67,-123.81,8.9,30.01,36.02,86.35
386.41,18.31,68.19,504,12.37,86.1,48.08,17.65,83.64
382.62,28.74,64.76,1100,-9.42,86.4,52.16,26.22,78.39
361.14,20.03,23.34,572,29.47,60.8,44.08,18.08,84.1
373.01,5.43,38.99,260,-48.57,32.5,37.03,0.92,96.68
382.98,25.57,73.7,281,-22.29,33.5,41.14,20.0,89.54
353.47,24.09,6.61,781,-54.78,69.7,48.58,17.36,82.11
380.07,36.49,65.92,568,-34.79,86.1,47.78,35.75,85.74
390.88,65.22,77.83,615,-130.87,85.2,50.15,32.81,71.13
361.72,23.01,36.8,817,-20.9,74.9,48.07,17.58,80.53
358.53,40.03,12.24,366,-17.06,61.6,48.22,40.93,84.75
393.7,43.71,82.82,0,-70.23,8.1,32.07,35.25,92.64
356.47,25.52,18.47,16,-3.6,15.5,27.54,25.44,99.41
370.31,33.07,40.23,956,12.35,86.3,50.89,31.3,74.54
383.39,19.94,72.19,327,44.01,58.2,45.6,18.55,88.06
392.59,23.31,82.61,0,-101.2,0.9,30.43,3.38,100.0
395.92,26.23,86.93,202,0.16,9.7,32.54,28.91,98.11
374.68,17.3,55.39,628,40.27,63.7,46.65,14.36,84.75
371.21,34.83,50.21,72,-61.05,0.5,27.61,25.73,97.88
396.08,35.43,85.59,57,43.7,15.4,30.95,32.11,96.02
385.07,26.46,58.49,555,-83.55,52.7,40.63,8.56,87.07
381.47,30.94,59.97,607,-35.82,66.4,45.3,30.07,85.44
374.82,70.0,46.23,881,-143.62,62.6,51.42,36.26,73.52
369.21,56.05,40.42,276,-152.04,21.5,37.18,7.21,87.91
375.87,70.0,50.65,722,-133.2,68.4,48.43,35.05,74.66
370.88,56.35,39.66,248,45.12,22.8,34.58,46.99,89.03
368.27,41.07,37.64,246,-86.54,31.2,38.71,25.45,87.72
403.75,48.54,99.4,775,-86.38,71.7,46.94,35.4,73.36
369.0,18.6,36.94,243,-15.51,62.4,41.38,17.95,89.21
365.6,49.84,29.36,643,-84.61,81.5,50.17,37.2,76.19
368.83,35.43,38.62,425,32.3,63.1,43.55,33.1,86.04
380.38,42.96,61.12,219,71.82,54.6,42.21,30.18,89.97
399.43,70.0,91.54,52,-173.3,9.0,31.47,29.61,87.75
390.36,31.89,79.85,357,-8.78,35.3,41.58,31.94,91.32
393.01,70.0,85.01,296,-163.63,25.5,37.61,27.36,81.74
393.85,48.5,86.61,216,-121.61,23.4,33.91,18.27,91.23
395.13,27.84,92.45,683,-11.34,93.4,49.75,26.52,78.8
359.44,43.69,27.33,176,-96.62,37.7,36.98,27.52,91.59
378.99,15.41,48.54,805,-24.34,85.6,52.81,16.26,80.11
374.0,29.22,41.59,423,-38.14,60.6,46.99,26.9,86.51
374.39,63.3,41.28,707,-138.88,76.3,45.54,27.38,71.26
380.27,19.17,66.97,638,-0.56,48.3,42.85,22.79,84.43
375.92,30.43,43.17,383,-22.06,55.4,44.59,31.52,89.15
387.68,37.5,63.55,282,-37.67,47.3,39.8,33.9,91.05
373.79,34.01,41.32,102,-78.88,18.7,33.52,21.36,95.88
372.22,29.15,34.56,909,-16.62,69.4,50.64,29.49,80.85
371.66,62.89,38.54,273,-117.63,27.0,34.08,37.09,85.84
388.14,38.83,81.36,0,-100.48,2.3,31.56,17.9,96.99
382.57,12.86,62.1,472,-20.74,62.0,44.63,11.37,85.19
395.7,22.03,97.53,193,21.81,17.0,34.87,18.59,92.98
390.26,37.67,84.1,459,-68.63,90.3,,33.27,77.85
376.52,20.26,51.15,463,-12.58,91.6,48.23,23.43,81.19
364.56,19.03,28.03,995,-27.7,87.8,53.2,15.61,78.21
385.9,42.1,69.02,369,-15.14,35.5,39.39,40.69,85.69
381.64,31.35,74.03,41,-81.51,1.5,26.54,16.2,99.52
374.09,29.3,49.1,395,-48.95,89.1,49.42,26.29,81.73
365.07,38.17,26.84,148,-42.29,41.1,38.84,35.37,87.17
381.21,37.13,57.94,415,49.9,92.8,49.15,34.7,79.61
367.0,50.09,29.11,566,-106.27,92.5,50.22,32.17,76.79
397.9,52.46,94.3,1105,-124.23,81.9,56.05,21.32,70.55
381.23,70.0,64.74,303,139.96,28.3,37.69,33.58,85.99
367.87,28.73,32.73,545,-21.46,37.0,40.57,28.15,90.87
361.85,30.73,25.49,993,-7.09,81.7,48.72,32.07,81.37
389.25,39.47,73.09,237,-1.47,30.4,34.39,41.71,97.64
387.4,18.37,72.24,130,6.31,16.3,33.13,16.06,95.39
380.68,32.4,61.73,663,13.94,53.5,44.84,31.85,82.59
379.37,29.75,63.36,712,6.59,89.9,49.42,29.42,79.04
384.54,36.08,62.37,668,27.62,66.8,46.24,37.44,82.82
371.28,45.74,39.21,513,-29.96,54.7,41.53,45.78,84.45
403.34,48.13,94.05,125,24.33,9.3,34.54,45.47,93.04
376.84,46.11,50.53,713,73.52,59.0,45.42,36.35,79.97
355.3,22.31,6.93,787,-28.25,95.0,54.49,22.01,79.45
364.65,29.04,38.09,156,-11.15,13.4,33.06,23.78,98.96
359.62,46.54,17.38,223,-74.79,49.8,40.42,35.21,85.04
368.81,19.77,39.52,941,-49.89,84.2,52.98,15.13,77.06
383.87,26.1,62.78,633,-18.83,71.1,47.32,25.67,87.73
354.58,27.29,7.15,319,-63.35,66.9,41.01,20.62,85.52
396.79,18.46,87.67,628,-34.45,67.4,45.71,16.23,86.23
387.89,35.12,62.98,258,-19.52,34.5,33.6,30.48,91.58
364.14,41.97,33.06,131,51.24,28.2,38.82,35.9,94.23
370.12,47.68,34.56,918,-91.83,77.7,44.12,34.0,76.21
376.67,28.74,49.24,344,-14.79,77.8,46.79,29.18,86.19
370.22,36.31,28.57,1030,-76.25,83.2,53.0,24.48,74.12
354.82,19.81,5.41,968,5.96,87.7,49.36,22.75,77.47
355.57,36.01,7.52,380,10.73,49.1,41.68,36.71,88.31
372.05,28.32,38.99,352,60.65,48.1,38.53,22.88,88.79
361.16,30.4,16.8,744,-65.54,76.6,49.8,22.6,79.21
357.93,34.21,7.12,692,-31.27,62.4,46.17,32.11,87.74
390.86,19.72,86.63,696,8.24,67.4,47.53,18.19,83.67
364.34,26.54,31.04,556,-0.48,76.4,46.28,28.85,86.24
381.6,70.0,52.8,773,-189.27,85.4,53.21,22.71,73.89
355.15,33.83,22.04,445,-81.25,32.4,37.29,21.29,89.45
354.47,25.13,9.44,216,-5.79,36.1,36.21,25.5,92.85
388.33,39.44,75.76,82,-52.59,9.0,31.83,35.54,95.78
357.9,29.82,16.87,338,8.69,55.5,41.5,29.77,89.85
358.46,32.93,7.44,77,22.52,3.5,29.03,30.93,100.0
381.82,38.38,60.79,459,-52.81,44.7,37.3,35.59,89.73
351.98,37.72,6.28,341,-3.95,52.1,41.94,34.24,88.74
371.32,32.58,46.45,176,47.37,27.5,36.55,26.21,93.02
367.07,31.31,32.44,321,21.11,56.7,45.13,33.57,88.01
371.17,44.08,35.34,104,-86.24,2.9,33.98,26.32,92.19
353.1,40.64,5.37,82,-51.11,3.6,31.49,32.38,97.45
397.9,40.35,96.61,1042,-38.35,79.0,50.91,38.42,81.09
374.97,52.09,54.11,225,-96.11,34.6,39.69,33.21,87.6
380.82,16.89,59.39,153,24.2,12.2,31.67,15.54,99.85
385.1,32.66,68.28,696,-78.7,50.1,46.27,23.03,86.98
388.21,40.78,80.76,626,-46.09,73.9,44.48,34.48,80.17
384.45,3.87,62.75,251,24.31,20.7,39.55,6.45,92.3
393.82,40.81,77.41,304,-67.06,59.8,39.87,31.24,83.93
373.96,41.06,47.63,140,-60.2,8.2,30.65,30.67,95.28
371.04,47.4,40.27,39,-19.72,5.0,27.32,50.0,96.26
388.28,40.07,83.2,599,-64.53,51.0,42.85,32.32,85.86
395.81,34.59,87.2,434,51.96,51.9,42.99,26.92,84.93
360.44,58.46,18.09,710,-94.93,61.2,45.08,39.64,80.07
377.3,70.0,56.55,862,-177.69,69.7,47.29,24.56,71.04
382.74,27.27,69.95,673,10.58,93.7,47.88,28.42,80.94
362.01,34.56,12.94,400,-61.45,49.6,41.99,28.89,86.63
397.8,49.25,93.31,449,-88.46,31.0,40.53,34.0,83.93
374.45,19.87,54.41,507,-16.97,76.3,46.85,18.77,81.74
385.73,37.98,66.32,405,-14.84,26.0,39.34,36.34,91.67
361.66,38.33,21.93,447,-85.71,42.1,38.36,22.74,88.01
365.24,52.5,30.12,116,31.21,7.5,31.03,48.59,90.19
361.18,13.37,16.5,0,11.71,2.4,29.96,12.87,98.47
357.2,30.65,30.08,704,78.47,92.4,53.46,20.43,82.44
370.47,14.11,51.78,836,-67.52,80.3,52.95,7.71,82.0
396.24,53.39,84.19,436,-30.62,66.8,45.97,50.0,81.48
377.47,19.09,55.7,334,-26.0,39.3,40.76,15.73,95.23
362.83,46.65,28.22,85,-59.62,16.6,31.77,35.6,95.9
350.61,40.62,9.24,72,-15.81,15.0,33.18,35.27,94.56
382.63,21.14,64.09,299,-11.29,24.0,33.26,18.94,93.15
373.41,36.72,44.92,423,-11.27,52.7,43.68,35.73,91.73
403.58,23.57,98.51,961,-59.59,68.6,49.4,17.31,83.58
390.66,23.64,79.08,374,-52.56,63.4,47.33,19.86,85.71
389.99,23.47,81.79,280,-74.03,26.9,37.36,12.38,90.77
354.3,48.95,6.16,505,-85.05,91.7,47.29,34.7,73.13
392.77,16.07,78.89,844,-43.84,70.8,48.52,8.41,79.41
364.42,38.31,23.49,641,50.99,53.2,43.13,31.93,83.47
382.19,39.87,60.65,304,82.34,58.7,40.68,26.76,89.13
374.58,46.68,47.51,616,38.83,40.3,42.16,45.43,86.22
377.91,38.6,59.3,34,-67.83,23.8,31.94,28.33,94.97
355.74,37.24,17.68,382,-15.54,34.2,38.82,36.48,90.94
370.63,70.0,48.4,1008,-162.81,72.8,47.05,33.11,69.08
355.44,30.46,8.51,44,-49.3,1.4,30.97,26.97,96.61
355.94,48.26,8.89,155,-63.31,11.1,31.7,39.15,92.14
387.03,41.49,67.49,61,72.46,4.4,28.58,31.8,98.3
399.39,37.53,95.41,65,-24.38,3.9,32.68,36.99,96.82
392.58,20.48,78.85,472,-36.96,82.1,43.51,18.72,85.76
374.39,42.84,49.57,623,-44.11,67.6,47.61,33.28,81.13
357.47,42.93,10.31,521,-57.45,45.5,42.97,36.02,82.6
351.63,15.59,9.28,0,-8.11,9.4,29.63,17.11,99.5
359.82,34.83,20.0,528,-79.74,47.2,41.81,27.26,86.36
393.36,7.43,97.7,309,-7.01,45.5,40.44,10.62,92.68
371.53,15.76,42.87,51,45.91,16.6,33.47,12.13,93.92
396.24,33.0,85.12,409,-33.24,41.6,42.16,27.4,92.22
386.2,57.51,71.99,293,-58.86,38.3,40.13,46.0,82.2
383.42,50.26,62.52,750,-44.52,59.1,48.43,46.78,78.51
398.34,27.73,95.04,368,32.04,61.0,45.12,24.95,84.51
361.73,20.16,26.89,120,-31.65,4.3,32.08,18.49,100.0
373.55,49.9,48.21,149,-76.56,36.0,36.31,37.27,86.34
397.11,7.63,87.15,419,8.52,60.1,42.96,7.96,86.41
380.86,36.51,57.42,645,-82.64,48.3,43.01,23.97,87.55
362.35,25.04,28.41,1020,-54.01,82.2,55.43,20.52,77.14
358.26,29.94,24.85,471,-26.25,63.2,42.68,27.14,86.58
388.88,60.0,76.52,151,-88.42,15.6,36.13,41.75,89.66
351.36,44.55,6.21,0,-147.18,6.8,30.05,2.12,96.25
395.39,32.9,91.85,424,-13.03,61.7,45.7,31.1,86.55
349.01,70.0,6.75,45,-171.51,2.5,32.29,31.43,87.82
385.59,44.9,64.94,632,-95.59,56.2,44.67,27.39,81.49
380.93,32.36,62.45,480,6.69,90.3,48.86,30.91,82.78
380.14,36.28,59.95,514,-14.85,55.2,41.21,33.14,85.44
372.53,32.83,50.06,379,-49.48,37.3,40.53,29.58,90.72
392.16,24.58,85.98,572,-93.73,61.8,46.88,7.65,81.64
384.19,30.72,67.64,454,-65.86,44.0,43.82,19.11,88.78
387.8,43.95,79.28,198,-5.41,52.4,39.19,43.98,88.33
357.34,19.34,15.97,876,-47.94,90.4,56.72,16.33,79.46
359.03,55.19,9.74,204,-114.11,37.1,36.96,28.81,86.16
348.6,38.03,7.71,1226,-92.8,92.3,55.2,20.79,73.97
360.05,44.79,18.98,625,-66.08,86.9,48.95,33.95,76.82
381.83,26.53,68.37,126,-17.98,18.8,33.77,25.97,99.0
379.98,36.8,51.93,53,-33.73,6.7,28.67,34.55,96.59
387.69,58.08,76.46,73,-114.79,9.7,29.92,31.83,93.8
358.47,27.77,23.21,0,40.82,1.7,27.82,24.1,99.9
369.28,23.05,39.86,14,-84.57,9.1,31.97,5.71,96.18
395.75,21.15,89.41,453,-13.54,65.6,,19.34,85.43
405.27,32.61,93.89,72,-96.84,6.8,30.41,15.94,95.9
389.95,40.15,92.56,315,108.92,30.6,37.49,15.86,89.6
387.77,36.85,82.74,385,39.5,81.1,44.4,33.04,81.26
389.11,63.95,70.38,84,-86.46,2.2,32.49,48.25,89.74
391.37,2.8,91.8,707,-34.69,78.2,49.33,3.35,84.03
386.45,33.94,72.85,284,-101.75,27.1,38.75,12.94,95.04
396.36,36.71,95.62,60,-61.36,11.3,30.29,30.32,95.21
351.76,22.9,7.35,649,-14.62,66.9,46.45,25.47,85.76
395.76,35.18,92.56,477,10.7,60.4,43.36,32.53,88.68
377.9,53.1,57.8,832,-114.3,84.2,50.61,27.53,72.05
360.98,55.06,15.62,651,-84.91,70.6,49.08,41.18,73.77
366.69,36.01,25.42,561,16.51,77.1,46.04,33.7,79.58
394.26,41.93,85.96,326,39.43,27.1,36.42,36.77,90.11
375.83,52.61,53.08,41,-86.39,17.0,31.38,38.18,87.42
399.96,16.74,98.37,1023,17.41,72.1,55.35,16.07,81.66
360.5,57.91,16.17,487,-114.14,77.5,44.58,33.87,73.18
375.1,39.24,44.19,973,-57.85,95.1,55.18,34.43,74.7
369.37,50.79,36.53,521,-108.66,39.6,38.42,24.58,85.26
381.6,32.89,54.03,443,-64.34,35.7,40.71,24.52,91.23
380.74,37.86,65.18,973,74.56,74.5,48.61,24.8,80.78
387.35,22.62,67.85,436,-43.29,32.7,39.57,19.21,94.43
354.67,21.51,5.12,676,-56.92,89.4,50.79,14.2,81.54
354.9,56.89,13.45,800,-73.89,82.4,50.21,49.46,72.77
